"id","vismedId","idEmpresaGestora","name","updatedAt"
"83149f86-d9dc-4cc2-9aa5-4b0e9fa6a75c",192,4,"Fonoaudiologia","2026-08-18 13:30:13.466"
"29a1f385-f18c-4dad-8df7-982935968524",3484,NULL,"Fonoaudiologia","2026-08-18 12:39:08.648"
