"name","status","externalId","lastError"
"DR. MATEUS FERREIRA DE ALMEIDA (OFTALMOLOGIA)","UNLINKED",NULL,NULL
"DR. MATEUS FERREIRA DE ALMEIDA (OFTALMOLOGIA)","LINKED","937679",NULL
