"vismedId","name","doctoraliaDoctorId","status","bookings","primeiro","ultimo"
5754,"DRA. CAMILLE L. VIN (PEDIATRIA)",NULL,"CONFIRMED",5,"2026-08-18 17:00:00","2026-09-01 17:30:00"
5867,"MAPA - CAMPO VISUAL - TOX",NULL,"BOOKED",6,"2026-08-13 13:20:00","2026-09-01 11:40:00"
6735,"DR. NELSON ARAUJO DE SOUSA ( USG )","937737","BOOKED",5,"2026-08-18 10:50:00","2026-09-01 11:00:00"
6816,"DRA. ROBERTA NOGUEIRA FURTADO BUCARD (MASTOLOGIA)","832432","BOOKED",9,"2026-08-31 16:10:00","2026-08-31 18:50:00"
6896,"DRA. MARIA GABRIELA CAMPOS GOMES (MEDICA DA FAMILIA - CLINICO GERAL - OTORRINO - PSIQUIATRIA - ENDOCRINOLOGIA)","1468805","CONFIRMED",31,"2026-08-12 12:30:00","2026-08-31 17:30:00"
6816,"DRA. ROBERTA NOGUEIRA FURTADO BUCARD (MASTOLOGIA)","832432","CONFIRMED",3,"2026-08-31 16:00:00","2026-08-31 17:00:00"
1599,"DR. SÉRGIO MADEIRA (UROLOGIA)","456303","CONFIRMED",8,"2026-08-17 13:40:00","2026-08-31 13:40:00"
6980,"DRA CAROLINA MARIA DE ASSUNCAO FERNANDES (ULTRASSONOGRAFISTA)",NULL,"BOOKED",9,"2026-08-24 11:30:00","2026-08-31 12:00:00"
6964,"DRA. YASMIN PASSAMANI (PEDIATRIA/CLÍNICA GERAL)",NULL,"BOOKED",17,"2026-08-15 12:00:00","2026-08-31 11:00:00"
6971,"DRA. ANA CAROLINA BAPTISTA (GASTROENTEROLOGIA)",NULL,"CONFIRMED",23,"2026-08-15 11:00:00","2026-08-29 14:30:00"
6982,"DR. HENRI MARINS COSTA (ECO E DOPPLER DE CARÓTIDAS)",NULL,"BOOKED",8,"2026-08-19 13:20:00","2026-08-29 13:40:00"
1612,"DRA. AMÁLIA BOLDRIM (OFTALMOLOGIA)",NULL,"CONFIRMED",17,"2026-08-15 11:00:00","2026-08-29 12:50:00"
5494,"DR. PERICLES MELLO (HOMEOPATIA/CLÍNICO GERAL/PEDIATRIA/GERIATRIA)",NULL,"CONFIRMED",5,"2026-08-13 21:00:00","2026-08-28 21:10:00"
6960,"DRA. RENATA MARTINHO (OFTALMOLOGIA)",NULL,"CONFIRMED",24,"2026-08-14 17:30:00","2026-08-28 20:00:00"
6981,"DRA ARAGANA BENTO ( UROLOGIA)",NULL,"CONFIRMED",13,"2026-08-14 19:20:00","2026-08-28 19:20:00"
6981,"DRA ARAGANA BENTO ( UROLOGIA)",NULL,"BOOKED",8,"2026-08-21 19:00:00","2026-08-28 19:00:00"
4038,"DR. JOSE ROBERTO MENDONÇA (NEUROPEDIATRIA/NEUROLOGIA/GERIATRIA/PSIQUIATRIA/CLÍNICO)","144078","CONFIRMED",34,"2026-08-14 12:00:00","2026-08-28 17:30:00"
4119,"DR. JOÃO OTÁVIO DE QUEIROZ (CARDIOLOGISTA/REUMATOLOGIA/CLÍNICO GERAL)",NULL,"CONFIRMED",21,"2026-08-14 11:30:00","2026-08-28 16:30:00"
4119,"DR. JOÃO OTÁVIO DE QUEIROZ (CARDIOLOGISTA/REUMATOLOGIA/CLÍNICO GERAL)",NULL,"BOOKED",17,"2026-08-14 11:30:00","2026-08-28 12:00:00"
6959,"DR. LUIZ ANTONIO DE SOUZA (CARDIOLOGIA E CLINICO GERAL)","883828","CONFIRMED",40,"2026-08-12 16:00:00","2026-08-27 20:30:00"
4424,"DRA. JULIANA SOARES (DERMATOLOGISTA)",NULL,"CONFIRMED",22,"2026-08-13 17:40:00","2026-08-27 20:00:00"
6815,"DR. JONAS PESSOA (ULTRASSONOGRAFIA)",NULL,"BOOKED",4,"2026-08-13 18:50:00","2026-08-27 18:20:00"
1597,"DR. EDUARDO GALLO (ORTOPEDIA)",NULL,"BOOKED",28,"2026-08-12 16:00:00","2026-08-27 18:10:00"
4742,"DR. MAURO BARROSO (GASTROENTEROLOGIA/CIRURGIAO GERAL)",NULL,"BOOKED",12,"2026-08-13 12:30:00","2026-08-27 13:40:00"
6976,"DR. FILIPE CESAR PEREIRA GONDAR (ANGIOLOGIA - CIRURGIA VASCULAR)","1468773","BOOKED",20,"2026-08-20 11:30:00","2026-08-27 13:30:00"
6571,"DRA. LUZIA MARCELINO LOURENÇO (PSICÓLOGA)","866482","BOOKED",2,"2026-08-13 17:20:00","2026-08-27 13:20:00"
6898,"DRA. BARBARA VITORIA DO NASCIMENTO (DENTISTA)","937474","BOOKED",28,"2026-08-13 14:30:00","2026-08-27 13:10:00"
6894,"DR. RAFAEL ARAGÃO RIBEIRO (MÉDICO DA FAMÍLIA - CLÍNICO GERAL)","937467","CONFIRMED",14,"2026-08-12 19:30:00","2026-08-26 20:30:00"
6808,"DR. MATEUS FERREIRA DE ALMEIDA (OFTALMOLOGIA)","937679","BOOKED",4,"2026-08-12 18:10:00","2026-08-26 19:30:00"
6921,"DR. RUBEN MENEZES NETO (ALERGO/DERMATO)","310682","CONFIRMED",28,"2026-08-12 16:30:00","2026-08-26 19:30:00"
1648,"DRA. ARTEMIS PALMEIRA (ENDOCRINOLOGISTA)",NULL,"CONFIRMED",41,"2026-08-12 11:00:00","2026-08-26 17:30:00"
1904,"DR. WALLACE MOURA (OTORRINOLARINGOLOGISTA)",NULL,"BOOKED",11,"2026-08-12 15:40:00","2026-08-26 15:20:00"
6484,"DRA. MARCIA MARIA FIONDA (GINECOLOGIA)",NULL,"CONFIRMED",24,"2026-08-12 12:20:00","2026-08-26 13:00:00"
6995,"DR. JANSSEN SIQUEIRA MELLO FALCAO (REUMATOLOGIA E ORTOPEDIA)",NULL,"CONFIRMED",8,"2026-08-18 19:40:00","2026-08-25 20:50:00"
6995,"DR. JANSSEN SIQUEIRA MELLO FALCAO (REUMATOLOGIA E ORTOPEDIA)",NULL,"BOOKED",7,"2026-08-18 19:30:00","2026-08-25 20:50:00"
6726,"DRA. MONIQUE FURTUNA DE SOUZA (TERAPIA DE REPROCESSAMENTO GENERATIVO)","937736","BOOKED",9,"2026-08-13 16:00:00","2026-08-25 18:00:00"
