"timestamp","action","message"
"2026-08-17 20:30:16.212","specialty_migrated","Especialidade ""Medicina Esportiva"": código VisMed mudou de 3461 para 169. Migrados 0 vínculo(s) de médico e 3 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.196","specialty_migrated","Especialidade ""Medicina do Tráfego"": código VisMed mudou de 3460 para 168. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.183","specialty_migrated","Especialidade ""Medicina do Trabalho"": código VisMed mudou de 3459 para 167. Migrados 34 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.091","specialty_migrated","Especialidade ""Medicina de Família e Comunidade"": código VisMed mudou de 3458 para 166. Migrados 8 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.063","specialty_migrated","Especialidade ""Mastologia"": código VisMed mudou de 3457 para 165. Migrados 1 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.048","specialty_migrated","Especialidade ""Infectologia"": código VisMed mudou de 3456 para 164. Migrados 1 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.031","specialty_migrated","Especialidade ""Homeopatia"": código VisMed mudou de 3455 para 163. Migrados 2 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.017","specialty_migrated","Especialidade ""Hematologia e Hemoterapia"": código VisMed mudou de 3454 para 162. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:16.002","specialty_migrated","Especialidade ""Geriatria"": código VisMed mudou de 3452 para 160. Migrados 19 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.946","specialty_migrated","Especialidade ""Genética médica"": código VisMed mudou de 3451 para 159. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.933","specialty_migrated","Especialidade ""Gastroenterologia"": código VisMed mudou de 3450 para 158. Migrados 16 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.88","specialty_migrated","Especialidade ""Endoscopia"": código VisMed mudou de 3449 para 157. Migrados 2 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.865","specialty_migrated","Especialidade ""Endocrinologia e Metabologia"": código VisMed mudou de 3448 para 156. Migrados 19 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.81","specialty_migrated","Especialidade ""Dermatologia"": código VisMed mudou de 3447 para 155. Migrados 26 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.738","specialty_migrated","Especialidade ""Coloproctologia"": código VisMed mudou de 3446 para 154. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.724","specialty_migrated","Especialidade ""Clínico Geral"": código VisMed mudou de 3445 para 153. Migrados 126 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.408","specialty_migrated","Especialidade ""Cirurgia Vascular"": código VisMed mudou de 3444 para 152. Migrados 1 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.394","specialty_migrated","Especialidade ""Cirurgia Torácica"": código VisMed mudou de 3443 para 151. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.38","specialty_migrated","Especialidade ""Cirurgia Plástica"": código VisMed mudou de 3442 para 150. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.366","specialty_migrated","Especialidade ""Cirurgia Pediátrica"": código VisMed mudou de 3441 para 149. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.354","specialty_migrated","Especialidade ""Cirurgia Geral"": código VisMed mudou de 3440 para 148. Migrados 11 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.313","specialty_migrated","Especialidade ""Cirurgia do Aparelho Digestivo"": código VisMed mudou de 3439 para 147. Migrados 0 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.302","specialty_migrated","Especialidade ""Cirurgia de cabeça e pescoço"": código VisMed mudou de 3438 para 146. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.288","specialty_migrated","Especialidade ""Cirurgia da Mão"": código VisMed mudou de 3437 para 145. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.271","specialty_migrated","Especialidade ""Cirurgia Cardiovascular"": código VisMed mudou de 3436 para 144. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.257","specialty_migrated","Especialidade ""Cardiologia"": código VisMed mudou de 3435 para 143. Migrados 21 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.188","specialty_migrated","Especialidade ""Cancerologia (oncologia)"": código VisMed mudou de 3434 para 142. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.174","specialty_migrated","Especialidade ""Angiologia"": código VisMed mudou de 3433 para 141. Migrados 4 vínculo(s) de médico e 3 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.144","specialty_migrated","Especialidade ""Anestesiologia"": código VisMed mudou de 3432 para 140. Migrados 0 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.133","specialty_migrated","Especialidade ""Alergia e Imunologia"": código VisMed mudou de 3431 para 139. Migrados 3 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:30:15.108","specialty_migrated","Especialidade ""Acupuntura"": código VisMed mudou de 3430 para 138. Migrados 1 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.633","specialty_migrated","Especialidade ""Telemedicina"": código VisMed mudou de 6554 para 6149. Migrados 3 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.587","specialty_migrated","Especialidade ""Fisioterapia"": código VisMed mudou de 196 para 3488. Migrados 7 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.559","specialty_migrated","Especialidade ""Psicologia"": código VisMed mudou de 195 para 3487. Migrados 16 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.505","specialty_migrated","Especialidade ""Proctologia"": código VisMed mudou de 194 para 3486. Migrados 1 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.492","specialty_migrated","Especialidade ""Odontologia"": código VisMed mudou de 193 para 3485. Migrados 18 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.437","specialty_migrated","Especialidade ""Fonoaudiologia"": código VisMed mudou de 192 para 3484. Migrados 10 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.4","specialty_migrated","Especialidade ""Urologia"": código VisMed mudou de 191 para 3483. Migrados 14 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.351","specialty_migrated","Especialidade ""Reumatologia"": código VisMed mudou de 190 para 3482. Migrados 7 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.326","specialty_migrated","Especialidade ""Radioterapia"": código VisMed mudou de 189 para 3481. Migrados 0 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.312","specialty_migrated","Especialidade ""Radiologia e Diagnóstico por Imagem"": código VisMed mudou de 188 para 3480. Migrados 12 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.27","specialty_migrated","Especialidade ""Psiquiatria"": código VisMed mudou de 187 para 3479. Migrados 17 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.217","specialty_migrated","Especialidade ""Pneumologia"": código VisMed mudou de 186 para 3478. Migrados 6 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.193","specialty_migrated","Especialidade ""Pediatria"": código VisMed mudou de 185 para 3477. Migrados 24 vínculo(s) de médico e 1 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.127","specialty_migrated","Especialidade ""Patologia Clínica/Medicina laboratorial"": código VisMed mudou de 184 para 3476. Migrados 8 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.093","specialty_migrated","Especialidade ""Otorrinolaringologia"": código VisMed mudou de 182 para 3474. Migrados 17 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
"2026-08-17 20:09:18.033","specialty_migrated","Especialidade ""Ortopedia e Traumatologia"": código VisMed mudou de 181 para 3473. Migrados 13 vínculo(s) de médico e 2 mapeamento(s) de serviço; registro antigo removido."
